loan_number,loan_status_description
1582834,CURRENT
75679675,CURRENT
6178775,COMPLETED
55667318,CHARGEOFF
60315522,COMPLETED
74494570,CURRENT
11275481,CHARGEOFF
6886805,COMPLETED
72144560,COMPLETED
2372129,COMPLETED
22391843,COMPLETED
54324451,CURRENT
13647268,COMPLETED
70070620,CURRENT
38459802,COMPLETED
43946111,COMPLETED
59251292,CURRENT
44037697,CURRENT
11774801,COMPLETED
46664029,COMPLETED
58290347,COMPLETED
4784637,COMPLETED
60860797,COMPLETED
5354649,CHARGEOFF
18204357,COMPLETED
27680540,COMPLETED
57264456,CURRENT
46674031,COMPLETED
40472942,COMPLETED
71737384,COMPLETED
79143326,COMPLETED
73833689,CHARGEOFF
1147005,COMPLETED
48494881,CURRENT
77419589,CURRENT
34433532,COMPLETED
18615936,COMPLETED
46655159,COMPLETED
46663212,COMPLETED
40177777,COMPLETED
18515810,CHARGEOFF
39108290,DEFAULTED
77577180,COMPLETED
61533683,COMPLETED
46195340,COMPLETED
76071924,CURRENT
73261251,CHARGEOFF
7694694,COMPLETED
58171111,COMPLETED
74704625,COMPLETED
78180156,CURRENT
63337296,CURRENT
1580391,COMPLETED
66491690,COMPLETED
40564449,DEFAULTED
21080842,COMPLETED
42964127,COMPLETED
7053431,COMPLETED
5773310,COMPLETED
12466122,COMPLETED
1254496,COMPLETED
59120031,COMPLETED
1222228,COMPLETED
46655827,CURRENT
57144829,CHARGEOFF
60176025,CURRENT
1250739,COMPLETED
37097271,COMPLETED
79573239,CURRENT
83375175,CHARGEOFF
74011146,COMPLETED
1115912,COMPLETED
77401388,COMPLETED
18885883,COMPLETED
44836411,COMPLETED
25747169,CURRENT
65058315,CURRENT
59150295,COMPLETED
54097924,CHARGEOFF
42345226,CHARGEOFF
58523018,COMPLETED
25377979,COMPLETED
23893614,COMPLETED
54067850,CHARGEOFF
2081438,COMPLETED
5648086,COMPLETED
8996064,COMPLETED
49943868,CHARGEOFF
22444052,COMPLETED
6209577,COMPLETED
55298636,COMPLETED
5628748,CHARGEOFF
35854024,CHARGEOFF
55493157,CURRENT
79572614,CURRENT
26739437,COMPLETED
20739790,CHARGEOFF
13276744,COMPLETED
56954704,CHARGEOFF
14849058,COMPLETED
61982703,COMPLETED
29644044,COMPLETED
12246890,CHARGEOFF
61370707,COMPLETED
83273181,CURRENT
74684240,COMPLETED
68984804,CURRENT
65059373,COMPLETED
41840605,COMPLETED
59461601,CURRENT
71462906,COMPLETED
41247780,COMPLETED
5055335,COMPLETED
12449457,COMPLETED
77181309,CURRENT
36221586,COMPLETED
43869667,COMPLETED
71905434,CURRENT
65646620,CURRENT
49219235,COMPLETED
75243880,CURRENT
5776519,COMPLETED
19918167,CURRENT
19877617,COMPLETED
41247704,CURRENT
18805330,COMPLETED
4176829,COMPLETED
77715161,CHARGEOFF
58504242,COMPLETED
61381703,CHARGEOFF
13297513,CHARGEOFF
73753165,COMPLETED
61672855,COMPLETED
8305130,COMPLETED
65422172,CURRENT
32939897,COMPLETED
8997489,COMPLETED
22361677,COMPLETED
10535616,COMPLETED
68536839,CURRENT
67868377,CHARGEOFF
61469889,CHARGEOFF
13418093,COMPLETED
61459971,CURRENT
48956491,CHARGEOFF
6315170,CHARGEOFF
6738774,CHARGEOFF
58542433,CURRENT
9787902,COMPLETED
7275075,COMPLETED
64822219,CURRENT
5234779,COMPLETED
35833602,CURRENT
5796539,COMPLETED
65643766,COMPLETED
48765613,COMPLETED
21490555,COMPLETED
61533344,CURRENT
19175826,CHARGEOFF
66453734,CURRENT
7274803,COMPLETED
5957226,COMPLETED
9046542,CURRENT
55877605,CURRENT
8305759,CHARGEOFF
73933197,CURRENT
75145264,COMPLETED
1426707,CHARGEOFF
38656185,COMPLETED
70743007,COMPLETED
51877294,COMPLETED
8556771,COMPLETED
69515118,COMPLETED
62267133,CHARGEOFF
81473941,CURRENT
50655305,COMPLETED
68162365,CURRENT
57134697,COMPLETED
48182380,COMPLETED
63154651,COMPLETED
16431963,COMPLETED
13107144,COMPLETED
70603131,COMPLETED
65652526,CURRENT
44683839,COMPLETED
53674542,COMPLETED
3667469,COMPLETED
7697286,COMPLETED
1588211,CHARGEOFF
58792723,CURRENT
56652230,CURRENT
38201614,COMPLETED
1635928,COMPLETED
65018479,COMPLETED
55342207,COMPLETED
24104611,COMPLETED
59421193,CURRENT
9836699,COMPLETED
69592394,CURRENT
79955707,CURRENT
28873952,COMPLETED
58030797,CURRENT
56098437,CURRENT
58623130,COMPLETED
72798202,COMPLETED
36138442,COMPLETED
65763101,CURRENT
70662146,CURRENT
11635001,COMPLETED
77891485,COMPLETED
60506266,CURRENT
50920283,COMPLETED
38634622,COMPLETED
60526272,COMPLETED
71672258,CURRENT
3487911,COMPLETED
3734446,COMPLETED
13165998,COMPLETED
44006812,CURRENT
70643077,CURRENT
3696408,COMPLETED
83766547,COMPLETED
69464561,CURRENT
9828059,COMPLETED
48354155,COMPLETED
44077361,COMPLETED
70273865,CHARGEOFF
23876058,COMPLETED
5934697,COMPLETED
49287157,CURRENT
41439485,COMPLETED
43054796,CURRENT
19716854,COMPLETED
1827057,CURRENT
42295841,COMPLETED
77892067,CHARGEOFF
83143978,CHARGEOFF
27521549,COMPLETED
65743523,COMPLETED
40481508,CHARGEOFF
49933311,CURRENT
61510774,CHARGEOFF
67715148,CURRENT
1419771,CURRENT
63448391,COMPLETED
71876358,CURRENT
43490459,COMPLETED
40960457,CHARGEOFF
68515142,CURRENT
71765072,COMPLETED
28624296,COMPLETED
6939423,CHARGEOFF
81416351,CURRENT
68586213,COMPLETED
61732478,CHARGEOFF
28382803,COMPLETED
67377861,COMPLETED
37117621,COMPLETED
66086240,CURRENT
79532297,CURRENT
46654806,COMPLETED
7365097,COMPLETED
72032596,CURRENT
6157977,COMPLETED
37277164,COMPLETED
65784801,COMPLETED
9265124,COMPLETED
59649252,CURRENT
28352721,COMPLETED
13167165,COMPLETED
60861610,COMPLETED
28623627,COMPLETED
33451260,COMPLETED
11815186,CHARGEOFF
4310168,CURRENT
63450166,COMPLETED
66401015,COMPLETED
1306967,COMPLETED
2004872,COMPLETED
34293450,COMPLETED
64320118,CURRENT
30286023,COMPLETED
78739523,CURRENT
70160945,COMPLETED
77561985,CURRENT
38555232,COMPLETED
56000402,COMPLETED
70996561,COMPLETED
65313421,COMPLETED
44026150,COMPLETED
43629336,COMPLETED
22011390,COMPLETED
9216588,CHARGEOFF
74531659,COMPLETED
59170424,CHARGEOFF
43165367,CURRENT
1592638,COMPLETED
53101150,CHARGEOFF
57824387,COMPLETED
30195297,COMPLETED
75447437,CURRENT
34011871,COMPLETED
60973738,CURRENT
30175436,CURRENT
55341026,CURRENT
11394870,COMPLETED
48181205,COMPLETED
17904762,COMPLETED
23123365,COMPLETED
34973760,COMPLETED
65150315,CHARGEOFF
19096707,COMPLETED
3159744,COMPLETED
48031493,CHARGEOFF
34914085,COMPLETED
19756684,COMPLETED
63398958,COMPLETED
16362729,CURRENT
40736267,CHARGEOFF
53664664,COMPLETED
20089355,COMPLETED
69096850,COMPLETED
69604798,CURRENT
5789265,COMPLETED
22281787,COMPLETED
63335614,CURRENT
61543645,CURRENT
11368478,COMPLETED
12978535,COMPLETED
1081415,CHARGEOFF
24005689,COMPLETED
27641724,CURRENT
59131700,COMPLETED
1523049,COMPLETED
83902411,COMPLETED
38448211,COMPLETED
67216631,CHARGEOFF
66624741,CURRENT
19015533,COMPLETED
69792584,COMPLETED
33380804,COMPLETED
3379045,COMPLETED
6209469,COMPLETED
70994666,CURRENT
42323306,COMPLETED
68593293,COMPLETED
82197307,CURRENT
63418156,CHARGEOFF
79572687,CURRENT
63517875,CURRENT
14758974,COMPLETED
7092617,COMPLETED
3154561,COMPLETED
22322766,COMPLETED
78188431,CURRENT
53091279,COMPLETED
67287022,CHARGEOFF
1519525,COMPLETED
71036455,CHARGEOFF
2365064,CHARGEOFF
55431465,CHARGEOFF
50575269,COMPLETED
83776986,COMPLETED
11885881,COMPLETED
45384184,COMPLETED
67345302,CURRENT
61973100,CHARGEOFF
63328959,CURRENT
39907756,COMPLETED
1690919,COMPLETED
40521485,COMPLETED
3288367,COMPLETED
9025310,CHARGEOFF
76052539,COMPLETED
58522378,CURRENT
23092780,COMPLETED
7687275,CHARGEOFF
55119219,COMPLETED
60763564,COMPLETED
11834617,CHARGEOFF
74593838,CURRENT
57578507,COMPLETED
40178006,COMPLETED
853678,COMPLETED
53434531,CHARGEOFF
10179263,COMPLETED
3221592,COMPLETED
11667306,COMPLETED
60587047,COMPLETED
58993127,CURRENT
70060496,CURRENT
4235646,COMPLETED
43266093,COMPLETED
44035503,COMPLETED
63155874,COMPLETED
70693365,CURRENT
9624580,CHARGEOFF
60971482,COMPLETED
6535782,COMPLETED
1619790,COMPLETED
71612360,CURRENT
70692495,COMPLETED
7927169,COMPLETED
58643502,COMPLETED
56472498,CURRENT
51156176,COMPLETED
68992388,CURRENT
69955230,COMPLETED
60387392,CHARGEOFF
14670445,COMPLETED
3372306,COMPLETED
68517241,COMPLETED
73548659,CHARGEOFF
1398028,CHARGEOFF
50789435,CURRENT
46732566,COMPLETED
69882286,CHARGEOFF
